id_venda,data,produto,categoria,quantidade,preco_unitario,valor_total,vendedor,cidade
43,2025-11-02,Headset RGB,Eletrônicos,3,250.0,750.0,Bruno,Belo Horizonte
44,2025-05-26,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Belo Horizonte
45,2025-10-03,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,Belo Horizonte
46,2026-01-20,Monitor 24pol,Eletrônicos,1,890.0,890.0,Carlos,Porto Alegre
47,2025-12-18,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,Belo Horizonte
48,2025-11-07,Headset RGB,Eletrônicos,1,250.0,250.0,Ana,Curitiba
49,2026-01-10,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Bruno,Curitiba
50,2025-07-07,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Ana,Porto Alegre
51,2025-11-26,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Diana,São Paulo
52,2025-07-31,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Diana,Belo Horizonte
53,2026-01-28,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,São Paulo
54,2025-05-08,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Diana,São Paulo
55,2025-04-06,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Carlos,Belo Horizonte
56,2025-03-28,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Bruno,Belo Horizonte
57,2025-08-11,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Carlos,Belo Horizonte
58,2026-01-26,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Diana,Curitiba
59,2025-07-26,Monitor 24pol,Eletrônicos,1,890.0,890.0,Diana,Belo Horizonte
60,2026-01-16,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Eduardo,São Paulo
61,2025-04-19,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,Belo Horizonte
62,2025-09-11,Webcam HD,Eletrônicos,1,180.0,180.0,Bruno,São Paulo
63,2025-03-19,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Carlos,Belo Horizonte
64,2025-05-30,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Ana,Belo Horizonte
65,2025-07-26,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,Belo Horizonte
66,2025-10-11,Webcam HD,Eletrônicos,2,180.0,360.0,Carlos,Belo Horizonte
67,2025-10-16,Webcam HD,Eletrônicos,1,180.0,180.0,Ana,São Paulo
68,2025-08-04,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Diana,São Paulo
69,2025-04-28,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Bruno,Curitiba
70,2025-04-05,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Eduardo,Curitiba
71,2026-01-20,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,Porto Alegre
72,2026-02-09,Headset RGB,Eletrônicos,3,250.0,750.0,Bruno,Belo Horizonte
73,2025-09-16,Webcam HD,Eletrônicos,2,180.0,360.0,Carlos,São Paulo
74,2025-04-28,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Ana,Belo Horizonte
75,2025-03-11,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Diana,Curitiba
76,2025-05-28,Webcam HD,Eletrônicos,2,180.0,360.0,Bruno,Belo Horizonte
77,2025-06-13,Headset RGB,Eletrônicos,3,250.0,750.0,Eduardo,Belo Horizonte
78,2025-08-07,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Ana,Curitiba
79,2025-07-03,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Eduardo,São Paulo
80,2026-01-23,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Carlos,Porto Alegre
81,2025-06-06,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Diana,Rio de Janeiro
82,2025-09-20,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Bruno,Belo Horizonte
83,2025-12-25,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Bruno,São Paulo
84,2025-08-02,Monitor 24pol,Eletrônicos,1,890.0,890.0,Eduardo,Curitiba
85,2025-10-24,Monitor 24pol,Eletrônicos,1,890.0,890.0,Eduardo,Curitiba
86,2025-08-17,Webcam HD,Eletrônicos,3,180.0,540.0,Bruno,São Paulo
87,2025-09-30,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Bruno,São Paulo
88,2026-01-22,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Ana,São Paulo
89,2025-07-03,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Bruno,Porto Alegre
90,2025-04-25,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Diana,Curitiba
91,2025-06-13,Monitor 24pol,Eletrônicos,1,890.0,890.0,Diana,Belo Horizonte
92,2025-04-23,Webcam HD,Eletrônicos,3,180.0,540.0,Diana,São Paulo
93,2025-03-18,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Ana,Rio de Janeiro
94,2025-02-21,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Bruno,Rio de Janeiro
95,2025-08-02,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,São Paulo
96,2025-02-16,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Diana,São Paulo
97,2025-08-29,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Ana,Belo Horizonte
98,2026-02-04,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Ana,São Paulo
99,2025-05-21,Monitor 24pol,Eletrônicos,1,890.0,890.0,Diana,São Paulo
100,2025-10-10,Monitor 24pol,Eletrônicos,1,890.0,890.0,Eduardo,Curitiba
101,2025-02-24,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Diana,Porto Alegre
102,2025-08-20,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,Porto Alegre
103,2025-10-06,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Eduardo,Rio de Janeiro
104,2026-01-14,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Carlos,Porto Alegre
105,2025-08-04,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Diana,São Paulo
106,2025-06-25,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Ana,Belo Horizonte
107,2025-02-23,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Carlos,Rio de Janeiro
108,2025-05-15,Headset RGB,Eletrônicos,2,250.0,500.0,Diana,Porto Alegre
109,2025-07-16,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Carlos,Belo Horizonte
110,2025-02-23,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Carlos,Curitiba
111,2025-07-12,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Ana,Rio de Janeiro
112,2025-07-03,Webcam HD,Eletrônicos,3,180.0,540.0,Bruno,Rio de Janeiro
113,2025-03-21,Headset RGB,Eletrônicos,2,250.0,500.0,Eduardo,Porto Alegre
114,2025-07-02,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Carlos,Curitiba
115,2025-10-03,Webcam HD,Eletrônicos,2,180.0,360.0,Carlos,São Paulo
116,2025-04-17,Monitor 24pol,Eletrônicos,1,890.0,890.0,Eduardo,Porto Alegre
117,2026-01-30,Monitor 24pol,Eletrônicos,2,890.0,1780.0,Eduardo,Curitiba
118,2025-12-08,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Carlos,Belo Horizonte
119,2025-11-28,Monitor 24pol,Eletrônicos,2,890.0,1780.0,Diana,Belo Horizonte
120,2025-05-25,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,Rio de Janeiro
121,2025-06-28,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Diana,Rio de Janeiro
122,2025-08-25,Monitor 24pol,Eletrônicos,2,890.0,1780.0,Diana,Curitiba
123,2025-03-02,Webcam HD,Eletrônicos,2,180.0,360.0,Carlos,São Paulo
124,2025-10-18,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Diana,Rio de Janeiro
125,2025-11-03,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Diana,Rio de Janeiro
126,2025-06-12,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Bruno,São Paulo
127,2026-01-06,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,Rio de Janeiro
128,2025-03-25,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Carlos,São Paulo
129,2026-02-01,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,Porto Alegre
130,2025-02-11,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Eduardo,Curitiba
131,2025-08-08,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,Porto Alegre
132,2025-06-19,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Bruno,Belo Horizonte
133,2025-06-04,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Eduardo,Porto Alegre
134,2025-06-12,Monitor 24pol,Eletrônicos,1,890.0,890.0,Carlos,Curitiba
135,2026-02-04,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Curitiba
136,2025-05-14,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Eduardo,Porto Alegre
137,2025-10-04,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Diana,Porto Alegre
138,2025-06-16,Webcam HD,Eletrônicos,2,180.0,360.0,Bruno,Porto Alegre
139,2025-04-07,Monitor 24pol,Eletrônicos,1,890.0,890.0,Bruno,São Paulo
140,2025-12-25,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Diana,Curitiba
141,2025-09-27,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Eduardo,Belo Horizonte
142,2025-07-02,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Carlos,Rio de Janeiro
143,2025-12-28,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Bruno,Belo Horizonte
144,2025-12-26,Webcam HD,Eletrônicos,1,180.0,180.0,Carlos,Porto Alegre
145,2026-01-30,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Eduardo,Curitiba
146,2025-11-06,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Ana,São Paulo
147,2025-08-07,Headset RGB,Eletrônicos,3,250.0,750.0,Bruno,Belo Horizonte
148,2025-05-06,Webcam HD,Eletrônicos,2,180.0,360.0,Diana,Belo Horizonte
149,2025-10-18,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Carlos,Curitiba
150,2025-04-08,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Ana,Porto Alegre
151,2025-05-10,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Bruno,São Paulo
152,2025-11-25,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Carlos,São Paulo
153,2025-07-08,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Carlos,Belo Horizonte
154,2025-05-23,Headset RGB,Eletrônicos,3,250.0,750.0,Carlos,Porto Alegre
155,2026-01-22,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Carlos,Rio de Janeiro
156,2025-08-14,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Ana,Porto Alegre
157,2025-08-05,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Ana,Curitiba
158,2025-11-15,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Eduardo,Porto Alegre
159,2025-02-22,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Diana,Belo Horizonte
160,2025-10-02,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,Porto Alegre
161,2026-01-22,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Ana,São Paulo
162,2025-12-15,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Ana,Belo Horizonte
163,2025-02-21,Monitor 24pol,Eletrônicos,1,890.0,890.0,Carlos,São Paulo
164,2025-11-12,Webcam HD,Eletrônicos,2,180.0,360.0,Bruno,Porto Alegre
165,2025-11-05,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Diana,Rio de Janeiro
166,2025-02-11,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Ana,Porto Alegre
167,2025-12-17,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Carlos,Rio de Janeiro
168,2025-08-16,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Carlos,Porto Alegre
169,2025-03-11,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Diana,São Paulo
170,2025-06-11,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,São Paulo
171,2025-07-18,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Carlos,Curitiba
172,2025-10-27,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Bruno,Rio de Janeiro
173,2025-12-22,Headset RGB,Eletrônicos,3,250.0,750.0,Eduardo,Porto Alegre
174,2025-05-09,Webcam HD,Eletrônicos,1,180.0,180.0,Carlos,Belo Horizonte
175,2025-04-21,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Carlos,São Paulo
176,2025-09-05,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Bruno,São Paulo
177,2025-04-29,Monitor 24pol,Eletrônicos,1,890.0,890.0,Bruno,São Paulo
178,2025-06-22,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Ana,Belo Horizonte
179,2025-09-02,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Bruno,Porto Alegre
180,2025-05-17,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Carlos,Porto Alegre
181,2025-03-09,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Carlos,Rio de Janeiro
182,2026-01-18,Webcam HD,Eletrônicos,2,180.0,360.0,Diana,Belo Horizonte
183,2025-08-18,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Bruno,Curitiba
184,2025-06-29,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,São Paulo
185,2025-09-11,Webcam HD,Eletrônicos,2,180.0,360.0,Bruno,Curitiba
186,2025-03-28,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Ana,Belo Horizonte
187,2025-06-13,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Diana,São Paulo
188,2025-03-15,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,Curitiba
189,2025-03-14,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Carlos,Belo Horizonte
190,2025-10-01,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Eduardo,São Paulo
191,2025-11-13,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Diana,Rio de Janeiro
192,2025-06-30,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Ana,Curitiba
193,2025-03-25,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Eduardo,São Paulo
194,2025-03-23,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Ana,Porto Alegre
195,2026-01-10,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Ana,Rio de Janeiro
196,2025-07-25,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Ana,Rio de Janeiro
197,2026-01-14,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Bruno,Porto Alegre
198,2025-03-09,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Diana,Rio de Janeiro
199,2025-11-03,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Eduardo,Porto Alegre
200,2025-03-29,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Bruno,Belo Horizonte
201,2025-04-11,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Ana,Porto Alegre
202,2025-05-22,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Bruno,Belo Horizonte
203,2025-09-08,Monitor 24pol,Eletrônicos,1,890.0,890.0,Carlos,Belo Horizonte
204,2025-07-10,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Ana,Curitiba
205,2025-11-27,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Bruno,Curitiba
206,2025-12-11,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Bruno,Porto Alegre
207,2025-02-27,Monitor 24pol,Eletrônicos,1,890.0,890.0,Ana,Belo Horizonte
208,2025-12-10,Webcam HD,Eletrônicos,2,180.0,360.0,Ana,São Paulo
209,2025-05-11,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Eduardo,Rio de Janeiro
210,2025-08-01,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Eduardo,Porto Alegre
211,2025-12-30,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Eduardo,São Paulo
212,2025-09-05,Webcam HD,Eletrônicos,2,180.0,360.0,Bruno,Belo Horizonte
213,2025-10-22,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Ana,Curitiba
214,2025-05-17,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Diana,Porto Alegre
215,2025-04-23,Headset RGB,Eletrônicos,3,250.0,750.0,Bruno,Porto Alegre
216,2025-09-21,Webcam HD,Eletrônicos,1,180.0,180.0,Bruno,Belo Horizonte
217,2025-05-07,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Carlos,Rio de Janeiro
218,2025-07-13,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,Porto Alegre
219,2025-02-12,Webcam HD,Eletrônicos,2,180.0,360.0,Diana,Porto Alegre
220,2025-09-16,Headset RGB,Eletrônicos,2,250.0,500.0,Eduardo,Rio de Janeiro
221,2025-11-01,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Bruno,Rio de Janeiro
222,2025-07-24,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Porto Alegre
223,2025-11-30,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Ana,Belo Horizonte
224,2025-07-25,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Carlos,Rio de Janeiro
225,2025-08-18,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Bruno,Belo Horizonte
226,2025-08-28,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Carlos,Porto Alegre
227,2025-04-11,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Eduardo,Rio de Janeiro
228,2025-12-03,Webcam HD,Eletrônicos,3,180.0,540.0,Diana,São Paulo
229,2025-11-23,Webcam HD,Eletrônicos,3,180.0,540.0,Bruno,Porto Alegre
230,2026-01-25,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Eduardo,Rio de Janeiro
231,2025-09-29,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Bruno,São Paulo
232,2025-07-19,Headset RGB,Eletrônicos,2,250.0,500.0,Diana,Curitiba
233,2025-08-10,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Diana,São Paulo
234,2025-11-26,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Bruno,São Paulo
235,2025-02-26,Teclado Mecânico,Eletrônicos,2,350.0,700.0,Eduardo,Curitiba
236,2025-09-24,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Diana,Belo Horizonte
237,2025-11-06,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Bruno,São Paulo
238,2025-10-05,Headset RGB,Eletrônicos,3,250.0,750.0,Eduardo,Curitiba
239,2025-05-31,Webcam HD,Eletrônicos,1,180.0,180.0,Diana,Belo Horizonte
240,2025-05-16,Notebook Gamer,Eletrônicos,2,4500.0,9000.0,Diana,São Paulo
241,2025-11-30,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Diana,Belo Horizonte
242,2025-10-24,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Belo Horizonte
243,2025-09-04,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Eduardo,Belo Horizonte
244,2025-02-18,Notebook Gamer,Eletrônicos,1,4500.0,4500.0,Diana,São Paulo
245,2025-05-22,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,Porto Alegre
246,2025-10-23,Monitor 24pol,Eletrônicos,1,890.0,890.0,Diana,Curitiba
247,2025-04-26,Headset RGB,Eletrônicos,2,250.0,500.0,Carlos,Rio de Janeiro
248,2025-07-30,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Bruno,Rio de Janeiro
249,2025-12-25,Webcam HD,Eletrônicos,1,180.0,180.0,Bruno,Porto Alegre
250,2026-02-02,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Eduardo,Curitiba
251,2025-11-22,Teclado Mecânico,Eletrônicos,3,350.0,1050.0,Carlos,Porto Alegre
252,2025-06-02,Monitor 24pol,Eletrônicos,3,890.0,2670.0,Ana,Rio de Janeiro
253,2025-09-17,Headset RGB,Eletrônicos,1,250.0,250.0,Carlos,Rio de Janeiro
254,2025-06-26,Headset RGB,Eletrônicos,2,250.0,500.0,Ana,Rio de Janeiro
255,2025-06-08,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Bruno,Rio de Janeiro
256,2025-04-20,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Carlos,Belo Horizonte
257,2025-06-16,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,Belo Horizonte
258,2025-04-06,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Bruno,Porto Alegre
259,2025-07-06,Headset RGB,Eletrônicos,3,250.0,750.0,Diana,Belo Horizonte
260,2025-11-09,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Carlos,Porto Alegre
261,2025-11-10,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Ana,Porto Alegre
262,2026-02-01,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Eduardo,São Paulo
263,2025-12-11,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Ana,Porto Alegre
264,2025-03-22,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Carlos,Rio de Janeiro
265,2025-08-16,Notebook Gamer,Eletrônicos,3,4500.0,13500.0,Carlos,Porto Alegre
266,2025-05-15,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,São Paulo
267,2025-02-19,Headset RGB,Eletrônicos,3,250.0,750.0,Eduardo,Porto Alegre
268,2025-11-21,Headset RGB,Eletrônicos,2,250.0,500.0,Ana,Porto Alegre
269,2025-05-18,Cadeira Ergonômica,Móveis,1,1200.0,1200.0,Bruno,Belo Horizonte
270,2025-07-24,Mouse Sem Fio,Eletrônicos,2,120.0,240.0,Eduardo,Rio de Janeiro
271,2025-08-18,Teclado Mecânico,Eletrônicos,1,350.0,350.0,Eduardo,São Paulo
272,2025-04-10,Monitor 24pol,Eletrônicos,2,890.0,1780.0,Diana,Belo Horizonte
273,2025-05-22,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Ana,Rio de Janeiro
274,2026-01-31,Webcam HD,Eletrônicos,3,180.0,540.0,Diana,Belo Horizonte
275,2025-02-16,Mouse Sem Fio,Eletrônicos,3,120.0,360.0,Eduardo,Rio de Janeiro
276,2025-04-06,Webcam HD,Eletrônicos,3,180.0,540.0,Carlos,Porto Alegre
277,2025-06-18,Headset RGB,Eletrônicos,1,250.0,250.0,Bruno,São Paulo
278,2025-05-09,Headset RGB,Eletrônicos,3,250.0,750.0,Eduardo,Rio de Janeiro
279,2025-05-23,Cadeira Ergonômica,Móveis,3,1200.0,3600.0,Carlos,Porto Alegre
280,2026-01-11,Mouse Sem Fio,Eletrônicos,1,120.0,120.0,Bruno,Curitiba
281,2026-01-09,Cadeira Ergonômica,Móveis,2,1200.0,2400.0,Carlos,Porto Alegre
